ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
NLBA,ml-1m-CTR,embedding(8);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(16);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(32);,0.4013,0.5432,0.8946,0.486,0.5789
NLBA,ml-1m-CTR,embedding(64);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(128);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(256);,0.4026,0.5454,0.901,0.488,0.5816
