ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
NLBA,book-crossing-CTR,lr(0.0001);,0.7255,0.7255,1.0,0.7506,0.8951
NLBA,book-crossing-CTR,lr(0.001);,0.7255,0.7255,1.0,0.7506,0.8951
NLBA,book-crossing-CTR,lr(0.005);,0.7255,0.7255,1.0,0.7506,0.8951
NLBA,book-crossing-CTR,lr(0.01);,0.7255,0.7255,1.0,0.7506,0.8951
NLBA,book-crossing-CTR,lr(0.02);,0.7255,0.7255,1.0,0.7506,0.8951
NLBA,book-crossing-CTR,lr(0.05);,0.7255,0.7255,1.0,0.7506,0.8951
NLBA,book-crossing-CTR,lr(0.1);,0.7255,0.7255,1.0,0.7506,0.8951
NLBA,book-crossing-CTR,lr(0.2);,0.7255,0.7255,1.0,0.7506,0.8951
