ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(0.0001);,0.5655,0.4767,0.9138,0.5719,0.6626
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(0.001);,0.5655,0.4767,0.9138,0.5719,0.6626
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(0.01);,0.5655,0.4767,0.9138,0.5719,0.6626
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(0.05);,0.5655,0.4767,0.9138,0.5719,0.6626
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(0.1);,0.5655,0.4767,0.9138,0.5719,0.6626
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(0.2);,0.5655,0.4767,0.9138,0.5719,0.6626
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(0.5);,0.5655,0.4767,0.9138,0.5719,0.6626
LWA,ml-100k-CTR,embedding(8);train_batch_size(8);lr(1.0);,0.5655,0.4767,0.9138,0.5719,0.6626
