ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
NLBA,ml-100k-CTR,embedding(8);,0.5621,0.4816,0.931,0.5678,0.6598
NLBA,ml-100k-CTR,embedding(16);,0.5655,0.4767,0.9138,0.5719,0.6626
NLBA,ml-100k-CTR,embedding(32);,0.5655,0.4767,0.9138,0.5719,0.6626
NLBA,ml-100k-CTR,embedding(64);,0.5655,0.4767,0.9138,0.5719,0.6626
NLBA,ml-100k-CTR,embedding(128);,0.5655,0.4767,0.9138,0.5719,0.6626
NLBA,ml-100k-CTR,embedding(256);,0.5655,0.4767,0.9138,0.5719,0.6626
