ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(0.0001);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(0.001);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(0.01);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(0.05);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(0.1);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(0.2);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(0.5);,0.4026,0.5454,0.901,0.488,0.5816
NLBA,ml-1m-CTR,embedding(8);train_batch_size(8);lr(1.0);,0.4026,0.5454,0.901,0.488,0.5816
