ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(0.0001);,0.4945,0.5602,0.9114,0.5549,0.6499
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(0.001);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(0.01);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(0.05);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(0.1);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(0.2);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(0.5);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);lr(1.0);,0.4945,0.5602,0.9114,0.5543,0.649
