ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
MWUF,ml-100k-CTR,embedding(256);train_batch_size(8);,0.6655,0.5817,0.9655,0.7239,0.8477
MWUF,ml-100k-CTR,embedding(256);train_batch_size(16);,0.6655,0.5817,0.9655,0.7239,0.8477
MWUF,ml-100k-CTR,embedding(256);train_batch_size(32);,0.6655,0.5817,0.9655,0.7239,0.8477
MWUF,ml-100k-CTR,embedding(256);train_batch_size(64);,0.6655,0.5817,0.9655,0.7239,0.8477
MWUF,ml-100k-CTR,embedding(256);train_batch_size(128);,0.6655,0.5817,0.9655,0.7239,0.8477
MWUF,ml-100k-CTR,embedding(256);train_batch_size(256);,0.6655,0.5817,0.9655,0.7239,0.8477
