ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
TaNP,ml-100k,lr(0.0001);,0.4828,0.4828,1.0,0.4913,0.7201
TaNP,ml-100k,lr(0.001);,0.5138,0.5138,1.0,0.4898,0.648
TaNP,ml-100k,lr(0.005);,0.6103,0.6103,1.0,0.5929,0.7144
TaNP,ml-100k,lr(0.01);,0.6103,0.6103,1.0,0.5929,0.7144
TaNP,ml-100k,lr(0.02);,0.6103,0.6103,1.0,0.5929,0.7144
TaNP,ml-100k,lr(0.05);,0.6103,0.6103,1.0,0.5929,0.7144
TaNP,ml-100k,lr(0.1);,0.6103,0.6103,1.0,0.5929,0.7144
TaNP,ml-100k,lr(0.2);,0.6103,0.6103,1.0,0.5929,0.7144
