ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
MWUF,ml-100k-CTR,local_lr(0.0001);lr(0.0001);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.0001);lr(0.001);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.0001);lr(0.01);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.001);lr(0.0001);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.001);lr(0.001);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.001);lr(0.01);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.01);lr(0.0001);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.01);lr(0.001);,0.5241,0.5241,0.9828,0.5198,0.7103
MWUF,ml-100k-CTR,local_lr(0.01);lr(0.01);,0.5241,0.5241,0.9828,0.5198,0.7103
