ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
LWA,book-crossing-CTR,embedding(64);train_batch_size(8);lr(0.01);embeddingHiddenDim(8);,0.7253,0.7253,1.0,0.7505,0.8953
LWA,book-crossing-CTR,embedding(64);train_batch_size(8);lr(0.01);embeddingHiddenDim(16);,0.7255,0.7255,1.0,0.7506,0.8951
LWA,book-crossing-CTR,embedding(64);train_batch_size(8);lr(0.01);embeddingHiddenDim(32);,0.725,0.725,1.0,0.7483,0.8893
LWA,book-crossing-CTR,embedding(64);train_batch_size(8);lr(0.01);embeddingHiddenDim(64);,0.7255,0.7255,1.0,0.7506,0.8951
LWA,book-crossing-CTR,embedding(64);train_batch_size(8);lr(0.01);embeddingHiddenDim(128);,0.7255,0.7255,1.0,0.7506,0.8951
LWA,book-crossing-CTR,embedding(64);train_batch_size(8);lr(0.01);embeddingHiddenDim(256);,0.7255,0.7255,1.0,0.7506,0.8951
