ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
MetaEmb,book-crossing-CTR,embedding(32);train_batch_size(8);lr(0.01);alpha(0.05);,0.7194,0.7194,1.0,0.7461,0.895
MetaEmb,book-crossing-CTR,embedding(32);train_batch_size(8);lr(0.01);alpha(0.1);,0.7194,0.7194,1.0,0.7461,0.895
MetaEmb,book-crossing-CTR,embedding(32);train_batch_size(8);lr(0.01);alpha(0.2);,0.7194,0.7194,1.0,0.7461,0.895
MetaEmb,book-crossing-CTR,embedding(32);train_batch_size(8);lr(0.01);alpha(0.5);,0.7194,0.7194,1.0,0.7461,0.895
MetaEmb,book-crossing-CTR,embedding(32);train_batch_size(8);lr(0.01);alpha(0.8);,0.7194,0.7194,1.0,0.7461,0.895
MetaEmb,book-crossing-CTR,embedding(32);train_batch_size(8);lr(0.01);alpha(1.0);,0.7194,0.7194,1.0,0.7461,0.895
