ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
MetaEmb,ml-100k-CTR,embedding(128);train_batch_size(8);lr(0.01);alpha(0.05);,0.5345,0.5345,1.0,0.5618,0.8167
MetaEmb,ml-100k-CTR,embedding(128);train_batch_size(8);lr(0.01);alpha(0.1);,0.5345,0.5345,1.0,0.5618,0.8167
MetaEmb,ml-100k-CTR,embedding(128);train_batch_size(8);lr(0.01);alpha(0.2);,0.5345,0.5345,1.0,0.5618,0.8167
MetaEmb,ml-100k-CTR,embedding(128);train_batch_size(8);lr(0.01);alpha(0.5);,0.5345,0.5345,1.0,0.5618,0.8167
MetaEmb,ml-100k-CTR,embedding(128);train_batch_size(8);lr(0.01);alpha(0.8);,0.5345,0.5345,1.0,0.5618,0.8167
MetaEmb,ml-100k-CTR,embedding(128);train_batch_size(8);lr(0.01);alpha(1.0);,0.5345,0.5345,1.0,0.5618,0.8167
