ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
TaNP,ml-100k,embedding(256);train_batch_size(128);lr(0.01);lambda(0.05);,0.5806,0.5806,1.0,0.5994,0.807
TaNP,ml-100k,embedding(256);train_batch_size(128);lr(0.01);lambda(0.1);,0.5806,0.5806,1.0,0.5994,0.807
TaNP,ml-100k,embedding(256);train_batch_size(128);lr(0.01);lambda(0.2);,0.5806,0.5806,1.0,0.5994,0.807
TaNP,ml-100k,embedding(256);train_batch_size(128);lr(0.01);lambda(0.5);,0.5806,0.5806,1.0,0.5994,0.807
TaNP,ml-100k,embedding(256);train_batch_size(128);lr(0.01);lambda(0.8);,0.5806,0.5806,1.0,0.5994,0.807
TaNP,ml-100k,embedding(256);train_batch_size(128);lr(0.01);lambda(1.0);,0.5806,0.5806,1.0,0.5994,0.807
