['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.2);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.5);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.8);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);lambda(0.01);beta(1.0);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.01);beta(0.05);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.01);beta(0.1);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.01);beta(0.2);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.01);beta(0.5);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.01);beta(0.8);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.01);beta(1.0);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.05);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.1);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.2);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.5);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.8);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.01);beta(1.0);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
---------------
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.05);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);lambda(0.5);beta(0.05);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);lambda(1.0);beta(0.05);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.01);beta(0.05);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.01);beta(0.05);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(0.5);beta(0.05);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);lambda(1.0);beta(0.05);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(0.5);beta(0.05);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);lambda(1.0);beta(0.05);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
