ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
MetaEmb,ml-1m-CTR,local_lr(0.0001);lr(0.0001);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.0001);lr(0.001);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.0001);lr(0.01);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.001);lr(0.0001);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.001);lr(0.001);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.001);lr(0.01);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.01);lr(0.0001);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.01);lr(0.001);,0.5214,0.5214,1.0,0.5243,0.7203
MetaEmb,ml-1m-CTR,local_lr(0.01);lr(0.01);,0.5214,0.5214,1.0,0.5243,0.7203
