ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
MWUF,ml-1m-CTR,local_lr(0.0001);lr(0.0001);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.0001);lr(0.001);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.0001);lr(0.01);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.001);lr(0.0001);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.001);lr(0.001);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.001);lr(0.01);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.01);lr(0.0001);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.01);lr(0.001);,0.5208,0.5208,0.9968,0.5246,0.7227
MWUF,ml-1m-CTR,local_lr(0.01);lr(0.01);,0.5208,0.5208,0.9968,0.5246,0.7227
