ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
LWA,ml-1m-CTR,lr(0.0001);,0.7112,0.7112,1.0,0.7423,0.8895
LWA,ml-1m-CTR,lr(0.001);,0.7112,0.7112,1.0,0.7423,0.8895
LWA,ml-1m-CTR,lr(0.005);,0.7105,0.7105,1.0,0.7418,0.8895
LWA,ml-1m-CTR,lr(0.01);,0.7112,0.7112,1.0,0.7423,0.8895
LWA,ml-1m-CTR,lr(0.02);,0.7118,0.7118,1.0,0.7429,0.8895
LWA,ml-1m-CTR,lr(0.05);,0.7112,0.7112,1.0,0.7423,0.8895
LWA,ml-1m-CTR,lr(0.1);,0.7112,0.7112,1.0,0.7423,0.8895
LWA,ml-1m-CTR,lr(0.2);,0.7112,0.7112,1.0,0.7423,0.8895
