ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
MWUF,ml-100k-local-CTR,local_lr(0.0001);lr(0.0001);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.0001);lr(0.001);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.0001);lr(0.01);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.001);lr(0.0001);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.001);lr(0.001);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.001);lr(0.01);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.01);lr(0.0001);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.01);lr(0.001);,0.4586,0.4586,1.0,0.4554,0.6658
MWUF,ml-100k-local-CTR,local_lr(0.01);lr(0.01);,0.4586,0.4586,1.0,0.4554,0.6658
