ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
TaNP,ml-100k-local,lr(0.0001);,0.5276,0.5276,1.0,0.5431,0.7816
TaNP,ml-100k-local,lr(0.001);,0.5345,0.5345,1.0,0.5665,0.819
TaNP,ml-100k-local,lr(0.005);,0.5828,0.5828,1.0,0.6059,0.8405
TaNP,ml-100k-local,lr(0.01);,0.5759,0.5759,1.0,0.5998,0.852
TaNP,ml-100k-local,lr(0.02);,0.5759,0.5759,1.0,0.6072,0.8506
TaNP,ml-100k-local,lr(0.05);,0.5517,0.5517,1.0,0.5681,0.796
TaNP,ml-100k-local,lr(0.1);,0.6103,0.6103,1.0,0.6136,0.7945
TaNP,ml-100k-local,lr(0.2);,0.6103,0.6103,1.0,0.6136,0.7945
