ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
LWA,book-crossing-CTR,embedding(64);train_batch_size(8);,0.4945,0.5602,0.9114,0.5543,0.649
LWA,book-crossing-CTR,embedding(64);train_batch_size(16);,0.4945,0.5602,0.9114,0.5543,0.649
LWA,book-crossing-CTR,embedding(64);train_batch_size(32);,0.4945,0.5602,0.9114,0.5543,0.649
LWA,book-crossing-CTR,embedding(64);train_batch_size(64);,0.4945,0.5602,0.9114,0.5543,0.649
LWA,book-crossing-CTR,embedding(64);train_batch_size(128);,0.4945,0.5602,0.9114,0.5543,0.649
LWA,book-crossing-CTR,embedding(64);train_batch_size(256);,0.4945,0.5602,0.9114,0.5543,0.649
