ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
TaNP,book-crossing,embedding(8);train_batch_size(8);,0.6413,0.6413,1.0,0.6621,0.8343
TaNP,book-crossing,embedding(8);train_batch_size(16);,0.6413,0.6413,1.0,0.6621,0.8343
TaNP,book-crossing,embedding(8);train_batch_size(32);,0.6413,0.6413,1.0,0.6621,0.8343
TaNP,book-crossing,embedding(8);train_batch_size(64);,0.6413,0.6413,1.0,0.6621,0.8343
TaNP,book-crossing,embedding(8);train_batch_size(128);,0.6413,0.6413,1.0,0.6621,0.8343
TaNP,book-crossing,embedding(8);train_batch_size(256);,0.6413,0.6413,1.0,0.6621,0.8343
